,tag,count
0,'00s,4
1,00's,21
2,000,13
3,00s,676
4,010s,2
5,0114,1
6,0614,1
7,0714,2
8,0912,1
9,1,2
10,10cc,11
11,10s,306
12,11,3
13,1113,1
14,1114,6
15,12,4
16,13,5
17,170 ooo,1
18,1960s,2
19,1970s,1
20,1980s,2
21,1981-04-28,13
22,1981-05-03,3
23,1988-03-24,1
24,1996,2
25,1:pop-antmel,1
26,1d,25
27,1st Vine,3
28,1st album,1
29,1st vine acid,1
30,2 Pac,2
31,2 times,1
32,2-step,8
33,2000,1
34,2000's,1
35,2000s,31
36,2007,15
37,2008,1
38,2009,4
39,2010,2
40,2010s,166
41,2011,6
42,2012,10
43,2012 electronic,3
44,2013,5
45,2013 45,1
46,2013 discoveries,2
47,2014,61
48,2014 discoveries,2
49,2014 favourite,1
50,2015,4
51,2015 fifth harmony is coming for ya,8
52,20th Century,2
53,20th Century Classical,6
54,21st century classical,17
55,2LISTEN2,4
56,2NE1,15
57,2pac,16
58,2step,2
59,3,10
60,3 Doors Down,17
61,3 stars,3
62,3 times,1
63,30s,3
64,3FMcore,1
65,4 Stars,2
66,4 times,1
67,40s,8
68,4:pop-antmel,1
69,4ad,33
70,4am songs,3
71,4th ward,2
72,5 Seconds of Summer,27
73,5 Secs of Summer,1
74,5 Stars,3
75,50,1
76,50 Cent,31
77,50cent,1
78,50cents,3
79,50s,59
80,5432fun,1
81,5H,1
82,5SOS,16
83,5SecondsofSummer,1
84,6 stars,5
85,60's,10
86,60s,1420
87,60s 70s and 80s,2
88,60s girls,1
89,60s pop,1
90,60s rock,1
91,678-74-311-75,2
92,7 stars,3
93,70's,12
94,70s,1796
95,70s pop,1
96,70s rock,2
97,8 bit,1
98,8-bit,63
99,80's,35
100,80s,4253
101,80s Heavy Metal,4
102,80s Pop,18
103,80s groove,1
104,80s hair metal,2
105,80s metal,6
106,80s revival,1
107,80s rock,9
108,80s-influenced,24
109,8bit,1
110,9,1
111,90's,11
112,90s,1399
113,90s Rnb,1
114,90s Rock,3
115,90s alternative,1
116,90s pop,2
117,<3,39
118,A Day To Remember,2
119,A Perfect Circle,5
120,A7X,3
121,AC/DC,4
122,ACDC,3
123,AFI,8
124,AOR,84
125,ASAP Rocky,1
126,ATL,6
127,AVENGED SEVENFOLD,5
128,AZN STYLE,1
129,Above 52 degrees north,3
130,Acid,4
131,Acid Rock,31
132,Acid-fried Pop,1
133,Acoustic Folk,8
134,Acoustic Rock,175
135,Acts Id love to know better but so far have been too lazy to give a real try,1
136,Adam lambert,2
137,Add this to that chillout tag   Yup,1
138,Addicted,2
139,Adelaide,1
140,Adele,13
141,Adult Alternative,15
142,Afie Jurvanen,18
143,Afro-Punk,2
144,Afrojack,1
145,After the disbandment of the Stunners in 2011,1
146,Aftermath,5
147,Air,5
148,Albanian,19
149,Alesso,5
150,Alex Tanas,6
151,Alexandre Desplat,1
152,Alexisonfire,1
153,Alice Cooper,3
154,Alice in Chains,3
155,Alicia Keys,13
156,Alison Mosshart,4
157,All,521
158,All Time Low,5
159,All we Are,11
160,Ally Brooke,11
161,Ally Pisante,8
162,Alt-country,728
163,Alter,6
164,Alter Bridge,7
165,Alternative Country-Rock,2
166,Alternative Folk,31
167,Alternative-Indie Rock,7
168,Alternativo adulto,1
169,Always,1
170,Amazayn,1
171,Ambient Electronica,1
172,Ambient Techno,9
173,Ambient dub,1
174,American Idol,71
175,American Idol 2012,1
176,American Thrash Metal,1
177,Amon Tobin,2
178,Amy Winehouse,8
179,Anathema,2
180,Andrew Davie,5
181,Andrew Panes,3
182,Animal Collective,5
183,Animal Collective Related,1
184,Anitta,1
185,Anjunabeats,7
186,Anthrax,2
187,Antonio Vivaldi,1
188,Apocalyptica,3
189,Apparat,5
190,Arcade Fire,2
191,Arch Enemy,1
192,Aretha Franklin,4
193,Ariana Grande,40
194,Ariel Pink,4
195,Armenian,5
196,Armin van Buuren,7
197,Artists I have seen Live,5
198,Artists i need to look into,1
199,Asher Roth,18
200,Ashton Irwin,1
201,Asian,4
202,Asian Pop,1
203,Atmospheric metal,2
204,Audioslave,7
205,Aussie,26
206,Austin Mahone,1
207,Australian Rock,1
208,Austria,10
209,Avant-Garde,161
210,Avant-Garde Jazz,4
211,Avant-Prog,1
212,Avant-garde Metal,2
213,Avicii,4
214,Avril,4
215,Awesome,120
216,Awesome Tunage,1
217,Awesome song,1
218,Awol Nation,1
219,Azealia Banks,3
