,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,strength_of_pair,z
0,00s,10s,28,8143,2107,0.00273170731707,-0.31774827508
1,2010s,10s,52,882,2107,0.0173971227835,1.05538562533
2,All,10s,37,2171,2107,0.00864890135577,0.236283061327
3,Canadian,10s,20,5300,2107,0.00270014850817,-0.320703150137
4,House,10s,16,7061,2107,0.00174520069808,-0.410115633142
5,Selena Gomez,10s,16,488,2107,0.00616570327553,0.0037793540018
6,UK,10s,27,4946,2107,0.00382815823054,-0.215086749884
7,USA,10s,42,5899,2107,0.00524606545091,-0.0823270284578
8,United States,10s,32,730,2107,0.0112795206204,0.482589925225
9,acoustic,10s,19,14103,2107,0.00117211597779,-0.463773987318
10,alternative,10s,106,66318,2107,0.00154914139569,-0.428472813355
11,alternative rock,10s,52,31218,2107,0.00156039009752,-0.427419588926
12,amazing,10s,16,980,2107,0.00518302559119,-0.0882294980237
13,american,10s,72,23323,2107,0.00283130161227,-0.308423186177
14,beautiful,10s,16,2037,2107,0.003861003861,-0.212011388755
15,british,10s,24,27965,2107,0.000798084596967,-0.498794827335
16,canada,10s,20,874,2107,0.00670915800067,0.0546634294061
17,check out,10s,20,282,2107,0.00837170364169,0.210328830491
18,chillout,10s,17,10145,2107,0.00138752856676,-0.443604744301
19,dance,10s,51,18181,2107,0.00251380126183,-0.338150983223
20,downtempo,10s,17,6540,2107,0.00196599976871,-0.389442049789
21,dream pop,10s,28,4973,2107,0.00395480225989,-0.203228973991
22,dubstep,10s,16,3374,2107,0.00291917533297,-0.300195503496
23,electro,10s,21,7059,2107,0.0022910757146,-0.359004944033
24,electronic,10s,65,45753,2107,0.00135812787296,-0.446357553415
25,electronica,10s,38,14627,2107,0.00227082586351,-0.360900952848
26,electropop,10s,34,6698,2107,0.00386144236229,-0.211970331549
27,english,10s,18,2625,2107,0.00380388841927,-0.2173591506
28,experimental,10s,39,16868,2107,0.00205533596838,-0.381077434099
29,female,10s,19,3811,2107,0.00321054410274,-0.272914426038
30,female vocalist,10s,39,5671,2107,0.00501414245307,-0.104042153498
31,female vocalists,10s,87,32331,2107,0.00252627911029,-0.33698267287
32,folk,10s,38,24313,2107,0.00143830431491,-0.438850572743
33,indie,10s,123,70570,2107,0.00169241988525,-0.415057540418
34,indie folk,10s,31,6995,2107,0.00340584486926,-0.254628268111
35,indie pop,10s,101,23499,2107,0.00394438803405,-0.204204065803
36,indie rock,10s,74,32244,2107,0.00215423131787,-0.37181778801
37,indietronica,10s,21,2536,2107,0.00452293775576,-0.150034019426
38,london,10s,16,921,2107,0.00528401585205,-0.0787737038041
39,los angeles,10s,16,436,2107,0.0062917813606,0.0155841401057
40,love at first listen,10s,19,154,2107,0.00840336134454,0.213292965063
41,male vocalists,10s,53,14576,2107,0.00317688665108,-0.276065798597
42,new york,10s,18,2384,2107,0.00400801603206,-0.198246528406
43,pop,10s,130,54003,2107,0.00231687756193,-0.356589097625
44,pop rock,10s,33,9087,2107,0.00294800786135,-0.297495892138
45,power pop,10s,19,493,2107,0.00730769230769,0.110704647564
46,psychedelic,10s,23,8174,2107,0.00223713646532,-0.364055316585
47,r&b,10s,19,4372,2107,0.00293255131965,-0.298943099785
48,rnb,10s,26,11063,2107,0.00197418375095,-0.388675777365
49,rock,10s,96,74615,2107,0.00125127082193,-0.456362659619
50,sexy,10s,19,2976,2107,0.00373795002951,-0.223533011718
51,singer-songwriter,10s,38,31231,2107,0.00113984042234,-0.466795971894
52,soul,10s,54,15367,2107,0.00309030559689,-0.28417244794
53,synthpop,10s,20,6843,2107,0.00223463687151,-0.364289355438
54,teen pop,10s,16,602,2107,0.00590623846438,-0.0205145317713
55,00s,80s,39,8143,12833,0.00185926773455,-0.399435450569
56,60s,80s,61,4396,12833,0.00354054210923,-0.242016464039
57,70s,80s,336,7018,12833,0.0169260994408,1.01128335484
58,80's,80s,18,103,12833,0.00139146567718,-0.443236109686
59,90s,80s,179,7967,12833,0.00860576923077,0.232244567963
60,AOR,80s,22,143,12833,0.0016954377312,-0.414774977228
61,Avant-Garde,80s,19,918,12833,0.00138171769326,-0.444148820766
62,Canadian,80s,45,5300,12833,0.00248166326587,-0.341160088001
63,Disco,80s,101,1821,12833,0.00689231609117,0.0718126594278
64,Experimental Rock,80s,22,1296,12833,0.00155708118055,-0.427729405315
65,Gothic,80s,20,828,12833,0.00146402166752,-0.43644263764
66,Gothic Rock,80s,18,631,12833,0.00133689839572,-0.448345285365
67,Grunge,80s,27,2912,12833,0.0017148301048,-0.412959254676
68,Madonna,80s,16,88,12833,0.00123829424967,-0.457577665857
69,Manchester,80s,16,349,12833,0.00121377636171,-0.459873294182
70,Phil Collins,80s,18,108,12833,0.00139092805811,-0.443286447365
71,Pop-Rock,80s,26,1344,12833,0.00183395640827,-0.401805369121
72,Post punk,80s,23,292,12833,0.00175238095238,-0.409443340522
73,Progressive,80s,37,1201,12833,0.00263645432521,-0.326666884481
74,Progressive rock,80s,179,4618,12833,0.0102572918457,0.386877874814
75,Psychedelic Rock,80s,19,2854,12833,0.00121119398228,-0.460115084313
76,Rock and Roll,80s,25,1228,12833,0.00177796742764,-0.407047659564
77,Soundtrack,80s,23,1431,12833,0.00161245092541,-0.422545094384
78,UK,80s,58,4946,12833,0.00326227571854,-0.268070755871
79,USA,80s,61,5899,12833,0.00325645953449,-0.268615329567
80,acoustic,80s,35,14103,12833,0.00129937629938,-0.451858507518
81,adult contemporary,80s,26,274,12833,0.00198367284657,-0.387787306192
82,alternative,80s,542,66318,12833,0.00684767090751,0.0676324972415
