,tag_1,tag_2,count
498,00s,10s,58
504,00s,2007,15
507,00s,2010s,21
521,00s,70s,17
525,00s,80s,67
531,00s,90s,181
542,00s,Acoustic Rock,22
552,00s,All,32
553,00s,Alt-country,57
557,00s,Alternative Folk,15
574,00s,Avant-Garde,26
576,00s,Awesome,69
587,00s,Ballad,17
619,00s,Britrock,18
621,00s,Brooklyn,17
631,00s,California,48
633,00s,Canadian,36
684,00s,Disco,36
688,00s,Dreamy,20
700,00s,Electro Pop,15
705,00s,Electroclash,20
724,00s,Experimental Rock,40
733,00s,Favorite,38
738,00s,Favourites,23
741,00s,Female Voices,15
764,00s,Garage Rock,72
781,00s,Great Lyricists,17
788,00s,Grunge,38
803,00s,Hip-Hop,112
805,00s,House,51
894,00s,Lo-Fi,111
897,00s,Love,127
925,00s,Mellow,119
968,00s,Neo Soul,19
970,00s,Neo-Psychedelia,42
971,00s,Neo-Soul,26
973,00s,New Weird America,25
987,00s,Nu Metal,17
993,00s,Officially Shit,27
1029,00s,Pop-Rock,58
1030,00s,Pop-punk,17
1036,00s,Post Grunge,15
1038,00s,Post punk,17
1041,00s,Post-punk revival,40
1044,00s,Progressive,22
1048,00s,Progressive rock,56
1051,00s,Psychedelic Rock,54
1102,00s,Scottish,24
1143,00s,Soundtrack,29
1161,00s,Sweden,17
1213,00s,UK,157
1216,00s,USA,254
1266,00s,acoustic,156
1307,00s,alternative,567
1308,00s,alternative country,20
1309,00s,alternative dance,22
1311,00s,alternative hip-hop,15
1313,00s,alternative metal,23
1314,00s,alternative pop,24
1319,00s,alternative rock,383
1325,00s,amazing,45
1330,00s,ambient,67
1335,00s,american,391
1337,00s,americana,49
1362,00s,art pop,25
1364,00s,art rock,53
1372,00s,atmospheric,22
1376,00s,australia,17
1377,00s,australian,24
1412,00s,baroque pop,38
1425,00s,beautiful,83
1481,00s,bitch,15
1497,00s,blues,78
1499,00s,blues rock,37
1526,00s,brit rock,21
1527,00s,british,178
1535,00s,britpop,125
1560,00s,canada,30
1570,00s,catchy,15
1575,00s,chamber pop,38
1587,00s,chicago,16
1589,00s,chill,82
1593,00s,chillout,146
1595,00s,chillwave,19
1606,00s,classic rock,87
1639,00s,cool,15
1646,00s,country,47
1661,00s,cute,17
1674,00s,dance,244
1677,00s,dance pop,17
1678,00s,dance punk,15
1680,00s,dance-pop,37
1681,00s,dance-punk,16
1712,00s,deep house,24
1742,00s,diva,47
1744,00s,dj,24
1752,00s,downtempo,43
1757,00s,dream pop,83
1763,00s,dub,17
1768,00s,duo,16
1776,00s,easy listening,39
1786,00s,electro,113
1788,00s,electro house,23
1798,00s,electronic,337
1803,00s,electronica,190
1804,00s,electropop,118
1816,00s,emo,86
1824,00s,england,49
1825,00s,english,98
1838,00s,experimental,206
1855,00s,favorites,160
1860,00s,female,143
1871,00s,female vocalist,181
1872,00s,female vocalists,237
1873,00s,female vocals,30
1890,00s,folk,207
1896,00s,folk rock,81
1900,00s,folk-rock,17
1910,00s,freak folk,40
1927,00s,fun,36
1928,00s,funk,96
1931,00s,funky,32
1948,00s,garage,37
1951,00s,garage rock revival,28
1960,00s,genius,22
1969,00s,german,19
1970,00s,germany,16
1982,00s,glam rock,17
2038,00s,guilty pleasure,26
2039,00s,guitar,38
2053,00s,happy,21
2055,00s,hard rock,77
2056,00s,hardcore,22
2071,00s,heavy metal,25
2078,00s,hip hop,93
2088,00s,hiphop,35
2101,00s,hot,26
2118,00s,idm,16
2126,00s,indie,521
2131,00s,indie electronic,27
2132,00s,indie folk,92
2135,00s,indie pop,324
2140,00s,indie rock,407
2152,00s,indietronica,64
2158,00s,instrumental,28
2194,00s,jazz,85
2252,00s,latin,16
2260,00s,legend,45
2282,00s,london,40
2288,00s,los angeles,20
2320,00s,male,17
2324,00s,male vocalist,42
2325,00s,male vocalists,295
2348,00s,melancholic,23
2349,00s,melancholy,39
2357,00s,metal,57
2379,00s,minimal,27
2457,00s,new rave,19
2459,00s,new wave,80
2461,00s,new york,61
2476,00s,noise,29
2478,00s,noise pop,36
2479,00s,noise rock,20
2522,00s,oldies,16
2543,00s,party,15
2564,00s,piano,48
2566,00s,piano rock,19
2579,00s,political,15
2581,00s,pop,531
2586,00s,pop punk,33
2588,00s,pop rock,163
2611,00s,post-grunge,31
2614,00s,post-punk,100
2616,00s,post-rock,48
2620,00s,power pop,33
2632,00s,producer,15
2646,00s,psychedelic,109
2647,00s,psychedelic folk,19
2648,00s,psychedelic pop,33
2656,00s,punk,135
2659,00s,punk rock,66
2674,00s,quirky,16
2675,00s,r and b,36
2678,00s,r&b,77
2679,00s,r'n'b,33
2686,00s,rap,67
2697,00s,reggae,19
2712,00s,rhythm and blues,37
2714,00s,rnb,106
2721,00s,rock,545
2725,00s,romantic,23
2733,00s,sad,15
2735,00s,sadcore,15
2748,00s,scandinavian,28
2755,00s,scotland,18
2759,00s,seattle,19
2784,00s,sexy,109
2795,00s,shoegaze,48
2806,00s,singer songwriter,16
2807,00s,singer-songwriter,271
2812,00s,ska,18
2828,00s,slowcore,17
2835,00s,soft,17
2836,00s,soft rock,55
2838,00s,songwriter,16
2843,00s,soul,152
2906,00s,swedish,18
2914,00s,synth,20
2917,00s,synth pop,41
2921,00s,synthpop,84
2936,00s,techno,17
2939,00s,teen pop,21
3013,00s,trip hop,16
3014,00s,trip-hop,45
3056,00s,urban,44
3082,00s,want to see live,18
3558,10s,00s,58
3572,10s,2010s,88
3603,10s,<3,18
3610,10s,Albanian,17
3612,10s,All,71
3630,10s,Awesome,20
3662,10s,California,25
3667,10s,Canadian,27
3689,10s,Demi Lovato,15
3713,10s,Energetic,16
3729,10s,Female Voices,25
3742,10s,Garage Rock,18
3764,10s,Hip-Hop,22
3770,10s,House,25
3814,10s,Lo-Fi,40
3858,10s,Need to scrobble,33
3861,10s,Neo-Psychedelia,17
3862,10s,Neo-Soul,18
3917,10s,Psychedelic Rock,20
3921,10s,Queen Bumble Bee,16
3941,10s,Selena Gomez,16
3988,10s,UK,49
3991,10s,USA,99
3994,10s,United States,37
4018,10s,acoustic,42
4036,10s,albania,17
4052,10s,alternative,219
4054,10s,alternative dance,18
4059,10s,alternative pop,16
4065,10s,alternative rock,91
4070,10s,amazing,22
4075,10s,ambient,24
4084,10s,american,166
4097,10s,art pop,28
4100,10s,art rock,26
4128,10s,band,15
4142,10s,beautiful,24
4173,10s,blues,15
4195,10s,british,57
4213,10s,canada,25
4224,10s,chamber pop,19
4228,10s,check out,29
4230,10s,check out this,17
4244,10s,chillout,31
4246,10s,chillwave,20
4280,10s,cute,17
4288,10s,dance,105
4290,10s,dance pop,46
4291,10s,dance-pop,15
4311,10s,deep,18
4312,10s,deep house,15
4325,10s,discovered on facebook,33
4346,10s,downtempo,28
4349,10s,dream pop,51
4356,10s,dubstep,23
4372,10s,electro,56
4380,10s,electronic,154
4384,10s,electronica,67
4385,10s,electropop,84
4397,10s,england,23
4398,10s,english,35
4409,10s,experimental,82
4433,10s,female,39
4442,10s,female vocalist,57
4443,10s,female vocalists,164
4454,10s,folk,91
4458,10s,folk rock,35
4475,10s,funk,16
4621,10s,indie,253
4624,10s,indie electronic,16
4625,10s,indie folk,69
4628,10s,indie pop,193
4631,10s,indie rock,135
4636,10s,indietronica,34
4661,10s,jazz,22
4731,10s,london,32
4732,10s,los angeles,24
4740,10s,love at first listen,21
4758,10s,male vocalists,88
4847,10s,new wave,24
4849,10s,new york,27
4864,10s,noise,18
4865,10s,noise pop,15
4931,10s,piano,27
4944,10s,pop,241
4948,10s,pop rock,53
4968,10s,post-punk,17
4974,10s,power pop,61
4977,10s,powerpop,23
4982,10s,private:watchlist,22
4994,10s,psychedelic,45
4996,10s,psychedelic pop,23
5010,10s,r&b,32
5040,10s,rnb,34
5043,10s,rock,160
5090,10s,sexy,25
5102,10s,shoegaze,20
5114,10s,singer-songwriter,111
5116,10s,singer-songwriters,19
5136,10s,someone special to me made me discover,33
5143,10s,soul,62
5178,10s,summer,23
5201,10s,synthpop,46
5214,10s,teen pop,22
5248,10s,trip-hop,23
5292,10s,via:8tracks,17
5313,10s,want to see live,17
6296,1d,Awesome,15
6308,1d,Fifth Harmony,20
6310,1d,Girl Groups,19
6331,1d,Selena Gomez,17
6339,1d,X factor,25
6343,1d,amazing,15
6344,1d,american,19
6365,1d,dance,19
6373,1d,female vocalists,19
6375,1d,girl group,19
6376,1d,girlband,19
6411,1d,one direction,25
6417,1d,pisam no E3,19
6418,1d,pop,25
6962,2000s,2010s,29
6968,2000s,Afie Jurvanen,18
6981,2000s,Canadian,22
7009,2000s,Progressive rock,23
7036,2000s,alternative,21
7070,2000s,canada,22
7112,2000s,folk,27
7113,2000s,folk pop,18
7139,2000s,indie,30
7141,2000s,indie folk,26
7158,2000s,male vocalists,27
7195,2000s,rock,30
7204,2000s,singer-songwriter,28
7220,2000s,toronto,22
7230,2007,00s,15
7244,2007,dance,15
7250,2007,electronic,15
7252,2007,electropop,15
7547,2010s,00s,21
