,tag_1,tag_2,count,number_of_pairs_x,number_of_pairs_y,totalPairs,pair_percent_of_total,pair_percent_of_x,pair_percent_of_y,perc_x_y_sum,score
0,00s,10s,58,15036,5092,2435982,2.38096997433e-05,0.00385740888534,0.0113904163394,0.0152478252247,0.104613852045
1,2010s,10s,88,2632,5092,2435982,3.61250616794e-05,0.0334346504559,0.0172820109976,0.0507166614536,2.08737107768
2,<3,10s,18,464,5092,2435982,7.3892171617e-06,0.0387931034483,0.00353495679497,0.0423280602432,0.10132977187
3,Albanian,10s,17,459,5092,2435982,6.97870509716e-06,0.037037037037,0.00333857030636,0.0403756073434,0.0862922133861
4,All,10s,71,6358,5092,2435982,2.91463565823e-05,0.0111670336584,0.0139434406913,0.0251104743497,0.453828799943
5,Awesome,10s,20,2270,5092,2435982,8.21024129078e-06,0.00881057268722,0.00392772977219,0.0127383024594,0.0284119904447
6,California,10s,25,3430,5092,2435982,1.02628016135e-05,0.00728862973761,0.00490966221524,0.0121982919528,0.0367251379768
7,Canadian,10s,27,9510,5092,2435982,1.10838257426e-05,0.00283911671924,0.00530243519246,0.0081415519117,0.0166858488694
8,Demi Lovato,10s,15,411,5092,2435982,6.15768096809e-06,0.036496350365,0.00294579732914,0.0394421476941,0.0662017523705
9,Energetic,10s,16,452,5092,2435982,6.56819303263e-06,0.0353982300885,0.00314218381775,0.0385404139062,0.0730565304743
10,Female Voices,10s,25,556,5092,2435982,1.02628016135e-05,0.044964028777,0.00490966221524,0.0498736909922,0.226559754066
11,Garage Rock,10s,18,5316,5092,2435982,7.3892171617e-06,0.00338600451467,0.00353495679497,0.00692096130965,0.008844434565
12,Hip-Hop,10s,22,29737,5092,2435982,9.03126541986e-06,0.000739819080607,0.00432050274941,0.00506032183002,0.00288674498335
13,House,10s,25,13403,5092,2435982,1.02628016135e-05,0.0018652540476,0.00490966221524,0.00677491626284,0.00939843492207
14,Lo-Fi,10s,40,13954,5092,2435982,1.64204825816e-05,0.00286656155941,0.00785545954438,0.0107220211038,0.0369759027143
15,Need to scrobble,10s,33,647,5092,2435982,1.35468981298e-05,0.0510046367852,0.00648075412412,0.0574853909093,0.447790699456
16,Neo-Psychedelia,10s,17,1747,5092,2435982,6.97870509716e-06,0.00973096737264,0.00333857030636,0.013069537679,0.0226720812503
17,Neo-Soul,10s,18,2256,5092,2435982,7.3892171617e-06,0.00797872340426,0.00353495679497,0.0115136801992,0.0208408750654
18,Psychedelic Rock,10s,20,7259,5092,2435982,8.21024129078e-06,0.00275520044083,0.00392772977219,0.00668293021302,0.00888486269588
19,Queen Bumble Bee,10s,16,432,5092,2435982,6.56819303263e-06,0.037037037037,0.00314218381775,0.0401792208548,0.0764387772555
20,Selena Gomez,10s,16,612,5092,2435982,6.56819303263e-06,0.0261437908497,0.00314218381775,0.0292859746674,0.0539567839451
21,UK,10s,49,9611,5092,2435982,2.01150911624e-05,0.00509832483613,0.00962293794187,0.014721262778,0.098686374192
22,USA,10s,99,12232,5092,2435982,4.06406943894e-05,0.00809352517986,0.0194422623723,0.0275357875522,0.639507499084
23,United States,10s,37,1892,5092,2435982,1.51889463879e-05,0.01955602537,0.00726630007855,0.0268223254485,0.215834850226
24,acoustic,10s,42,23967,5092,2435982,1.72415067106e-05,0.00175240956315,0.0082482325216,0.0100006420848,0.0249213592341
25,albania,10s,17,448,5092,2435982,6.97870509716e-06,0.0379464285714,0.00333857030636,0.0412849988778,0.0884109954112
26,alternative,10s,219,114909,5092,2435982,8.99021421341e-05,0.00190585593818,0.0430086410055,0.0449144969437,0.736912340644
27,alternative dance,10s,18,709,5092,2435982,7.3892171617e-06,0.0253878702398,0.00353495679497,0.0289228270347,0.0663145474577
28,alternative pop,10s,16,1062,5092,2435982,6.56819303263e-06,0.015065913371,0.00314218381775,0.0182080971888,0.0310937399006
29,alternative rock,10s,91,54194,5092,2435982,3.73565978731e-05,0.00167915267373,0.0178711704635,0.0195503231372,0.112101261571
30,amazing,10s,22,1463,5092,2435982,9.03126541986e-06,0.015037593985,0.00432050274941,0.0193580967344,0.0586761008679
31,ambient,10s,24,19120,5092,2435982,9.85228954894e-06,0.00125523012552,0.00471327572663,0.00596850585215,0.00582885655013
32,american,10s,166,46372,5092,2435982,6.81450027135e-05,0.00357974639869,0.0326001571092,0.0361799035079,0.795254192001
33,art pop,10s,28,1984,5092,2435982,1.14943378071e-05,0.0141129032258,0.00549882168107,0.0196117249069,0.0892010479037
34,art rock,10s,26,4537,5092,2435982,1.0673313678e-05,0.00573065902579,0.00510604870385,0.0108367077296,0.0312312088661
35,band,10s,15,292,5092,2435982,6.15768096809e-06,0.0513698630137,0.00294579732914,0.0543156603428,0.0931812336447
36,beautiful,10s,24,3802,5092,2435982,9.85228954894e-06,0.00631246712257,0.00471327572663,0.0110257428492,0.0293129240501
37,blues,10s,15,14017,5092,2435982,6.15768096809e-06,0.00107012912891,0.00294579732914,0.00401592645806,0.00194113720655
38,british,10s,57,49436,5092,2435982,2.33991876787e-05,0.00115300590663,0.0111940298507,0.0123470357574,0.0302008226909
39,canada,10s,25,2430,5092,2435982,1.02628016135e-05,0.0102880658436,0.00490966221524,0.0151977280589,0.0518383634817
40,chamber pop,10s,19,1784,5092,2435982,7.79972922624e-06,0.0106502242152,0.00373134328358,0.0143815674988,0.0309958451782
41,check out,10s,29,588,5092,2435982,1.19048498716e-05,0.0493197278912,0.00569520816968,0.0550149360608,0.334390705643
42,check out this,10s,17,440,5092,2435982,6.97870509716e-06,0.0386363636364,0.00333857030636,0.0419749339427,0.0900184680551
43,chillout,10s,31,20008,5092,2435982,1.27258740007e-05,0.0015493802479,0.0060879811469,0.0076373613948,0.0120038050321
44,chillwave,10s,20,4207,5092,2435982,8.21024129078e-06,0.00475398145947,0.00392772977219,0.00868171123166,0.0153304536034
45,cute,10s,17,711,5092,2435982,6.97870509716e-06,0.0239099859353,0.00333857030636,0.0272485562417,0.0557076314265
46,dance,10s,105,31691,5092,2435982,4.31037667766e-05,0.00331324350762,0.020620581304,0.0239338248116,0.294489275722
47,dance pop,10s,46,1086,5092,2435982,1.88835549688e-05,0.0423572744015,0.00903377847604,0.0513910528775,0.722572118941
48,dance-pop,10s,15,1198,5092,2435982,6.15768096809e-06,0.0125208681135,0.00294579732914,0.0154666654427,0.0227119534426
49,deep,10s,18,463,5092,2435982,7.3892171617e-06,0.0388768898488,0.00353495679497,0.0424118466438,0.101548626669
50,deep house,10s,15,2959,5092,2435982,6.15768096809e-06,0.00506928016222,0.00294579732914,0.00801507749136,0.00919530930188
51,discovered on facebook,10s,33,755,5092,2435982,1.35468981298e-05,0.0437086092715,0.00648075412412,0.0501893633956,0.383735870924
52,downtempo,10s,28,13047,5092,2435982,1.14943378071e-05,0.00214608722312,0.00549882168107,0.00764490890418,0.0135644116687
53,dream pop,10s,51,10987,5092,2435982,2.09361152915e-05,0.00464184945845,0.0100157109191,0.0146575603775,0.0973349777459
54,dubstep,10s,23,8058,5092,2435982,9.4417774844e-06,0.00285430627947,0.00451688923802,0.00737119551749,0.012172892175
55,electro,10s,56,15372,5092,2435982,2.29886756142e-05,0.00364298724954,0.0109976433621,0.0146406306117,0.0921024611194
56,electronic,10s,154,85203,5092,2435982,6.3218857939e-05,0.00180744809455,0.0302435192459,0.0320509673404,0.345576980862
57,electronica,10s,67,28305,5092,2435982,2.75043083241e-05,0.00236707295531,0.0131578947368,0.0155249676922,0.0856640847217
58,electropop,10s,84,12108,5092,2435982,3.44830134213e-05,0.00693756194252,0.0164964650432,0.0234340269857,0.394641702519
59,england,10s,23,2162,5092,2435982,9.4417774844e-06,0.0106382978723,0.00451688923802,0.0151551871104,0.0453696416033
60,english,10s,35,4934,5092,2435982,1.43679222589e-05,0.00709363599514,0.00687352710134,0.0139671630965,0.0700555453236
61,experimental,10s,82,33393,5092,2435982,3.36619892922e-05,0.002455604468,0.016103692066,0.018559296534,0.133113974219
62,female,10s,39,7556,5092,2435982,1.6009970517e-05,0.00516146109052,0.00765907305577,0.0128205341463,0.0632906275624
63,female vocalist,10s,57,11767,5092,2435982,2.33991876787e-05,0.0048440554092,0.0111940298507,0.0160380852599,0.126880927216
