,tag_1,tag_2,score
0,00s,10s,0.104613852045
1,2010s,10s,2.08737107768
2,<3,10s,0.10132977187
3,Albanian,10s,0.0862922133861
4,All,10s,0.453828799943
5,Awesome,10s,0.0284119904447
6,California,10s,0.0367251379768
7,Canadian,10s,0.0166858488694
8,Demi Lovato,10s,0.0662017523705
9,Energetic,10s,0.0730565304743
10,Female Voices,10s,0.226559754066
11,Garage Rock,10s,0.008844434565
12,Hip-Hop,10s,0.00288674498335
13,House,10s,0.00939843492207
14,Lo-Fi,10s,0.0369759027143
15,Need to scrobble,10s,0.447790699456
16,Neo-Psychedelia,10s,0.0226720812503
17,Neo-Soul,10s,0.0208408750654
18,Psychedelic Rock,10s,0.00888486269588
19,Queen Bumble Bee,10s,0.0764387772555
20,Selena Gomez,10s,0.0539567839451
21,UK,10s,0.098686374192
22,USA,10s,0.639507499084
23,United States,10s,0.215834850226
24,acoustic,10s,0.0249213592341
25,albania,10s,0.0884109954112
26,alternative,10s,0.736912340644
27,alternative dance,10s,0.0663145474577
28,alternative pop,10s,0.0310937399006
29,alternative rock,10s,0.112101261571
30,amazing,10s,0.0586761008679
31,ambient,10s,0.00582885655013
32,american,10s,0.795254192001
33,art pop,10s,0.0892010479037
34,art rock,10s,0.0312312088661
35,band,10s,0.0931812336447
36,beautiful,10s,0.0293129240501
37,blues,10s,0.00194113720655
38,british,10s,0.0302008226909
39,canada,10s,0.0518383634817
40,chamber pop,10s,0.0309958451782
41,check out,10s,0.334390705643
42,check out this,10s,0.0900184680551
43,chillout,10s,0.0120038050321
44,chillwave,10s,0.0153304536034
45,cute,10s,0.0557076314265
46,dance,10s,0.294489275722
47,dance pop,10s,0.722572118941
48,dance-pop,10s,0.0227119534426
49,deep,10s,0.101548626669
50,deep house,10s,0.00919530930188
51,discovered on facebook,10s,0.383735870924
52,downtempo,10s,0.0135644116687
53,dream pop,10s,0.0973349777459
54,dubstep,10s,0.012172892175
55,electro,10s,0.0921024611194
56,electronic,10s,0.345576980862
57,electronica,10s,0.0856640847217
58,electropop,10s,0.394641702519
59,england,10s,0.0453696416033
60,english,10s,0.0700555453236
61,experimental,10s,0.133113974219
62,female,10s,0.0632906275624
63,female vocalist,10s,0.126880927216
64,female vocalists,10s,0.57616940535
65,folk,10s,0.139346203256
66,folk rock,10s,0.0361411606678
67,funk,10s,0.00256120001353
68,indie,10s,1.06378018895
69,indie electronic,10s,0.0382193886278
70,indie folk,10s,0.210224437129
71,indie pop,10s,1.40690557305
72,indie rock,10s,0.352960173025
73,indietronica,10s,0.0630702642424
74,jazz,10s,0.00693569811503
75,london,10s,0.124316430209
76,los angeles,10s,0.0750995533953
77,love at first listen,10s,0.226933972934
78,male vocalists,10s,0.225977322987
79,new wave,10s,0.00901097487375
80,new york,10s,0.0401219779388
81,noise,10s,0.0179659969994
82,noise pop,10s,0.0129813550688
83,piano,10s,0.0178074764614
84,pop,10s,1.22108582574
85,pop rock,10s,0.0830265513994
86,post-punk,10s,0.00369100046074
87,power pop,10s,0.753044709212
88,powerpop,10s,0.0685458875935
89,private:watchlist,10s,0.348955835649
90,psychedelic,10s,0.0417148853589
91,psychedelic pop,10s,0.0426289287902
92,r&b,10s,0.0331333769215
93,rnb,10s,0.0156098826323
94,rock,10s,0.254197696581
95,sexy,10s,0.0272892598051
96,shoegaze,10s,0.0103043965984
97,singer-songwriter,10s,0.206872947613
98,singer-songwriters,10s,0.166055819213
99,someone special to me made me discover,10s,0.383735870924
100,soul,10s,0.0677614899896
101,summer,10s,0.161863308822
102,synthpop,10s,0.0606752741955
103,teen pop,10s,0.0931053531125
104,trip-hop,10s,0.00795403544812
105,via:8tracks,10s,0.226332148253
106,want to see live,10s,0.126543533368
107,00s,2007,0.153573447927
108,dance,2007,0.072863916034
109,electronic,2007,0.027101514771
110,electropop,2007,0.190711130082
111,00s,2010s,0.00960650929587
112,10s,2010s,2.08737107768
113,2000s,2010s,1.10902136765
114,Afie Jurvanen,2010s,0.38872430708
115,Albanian,2010s,0.16694526997
116,All,2010s,0.169071765127
117,Canadian,2010s,0.121508705592
118,Energetic,2010s,0.201242229772
119,Female Voices,2010s,0.0946758092035
120,Hip-Hop,2010s,0.00558484249818
121,Lo-Fi,2010s,0.00894193088056
122,Need to scrobble,2010s,0.0987405876287
123,Progressive rock,2010s,0.0543760241674
124,Queen Bumble Bee,2010s,0.147882315268
125,UK,2010s,0.0172798315855
126,USA,2010s,0.0878808275571
127,United States,2010s,0.0659491033337
128,acoustic,2010s,0.0114379029752
129,albania,2010s,0.171044372581
130,alternative,2010s,0.258792121292
131,alternative pop,2010s,0.100734057245
132,alternative rock,2010s,0.0157920904594
133,american,2010s,0.147647123326
134,british,2010s,0.00492965745434
135,canada,2010s,0.442369663654
136,check out,2010s,0.582286616367
137,check out this,2010s,0.145193545899
138,dance,2010s,0.101078812639
139,dance pop,2010s,0.152924918387
140,deep,2010s,0.13798090755
141,discovered on facebook,2010s,0.0846161062195
142,dream pop,2010s,0.0172720713636
143,electro,2010s,0.060187109325
144,electronic,2010s,0.0575588212933
145,electronica,2010s,0.00761746743193
146,electropop,2010s,0.133739963921
147,experimental,2010s,0.00497339147032
148,female,2010s,0.0285352588222
149,female vocalist,2010s,0.0727319240551
150,female vocalists,2010s,0.16073724232
151,folk,2010s,0.157041433159
