,mbid,tag,count
0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,rock,100
1,cc197bad-dc9c-440d-a5b5-d52ba2e14234,alternative,87
2,cc197bad-dc9c-440d-a5b5-d52ba2e14234,britpop,80
3,cc197bad-dc9c-440d-a5b5-d52ba2e14234,alternative rock,67
4,cc197bad-dc9c-440d-a5b5-d52ba2e14234,indie,54
5,cc197bad-dc9c-440d-a5b5-d52ba2e14234,british,28
6,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,18
7,cc197bad-dc9c-440d-a5b5-d52ba2e14234,pop,17
8,cc197bad-dc9c-440d-a5b5-d52ba2e14234,indie rock,10
9,cc197bad-dc9c-440d-a5b5-d52ba2e14234,pop rock,4
10,cc197bad-dc9c-440d-a5b5-d52ba2e14234,piano rock,3
11,cc197bad-dc9c-440d-a5b5-d52ba2e14234,UK,3
12,cc197bad-dc9c-440d-a5b5-d52ba2e14234,soft rock,2
13,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Mellow,2
14,cc197bad-dc9c-440d-a5b5-d52ba2e14234,chillout,2
15,cc197bad-dc9c-440d-a5b5-d52ba2e14234,male vocalists,2
16,cc197bad-dc9c-440d-a5b5-d52ba2e14234,piano,2
17,cc197bad-dc9c-440d-a5b5-d52ba2e14234,00s,2
18,cc197bad-dc9c-440d-a5b5-d52ba2e14234,chill,1
19,cc197bad-dc9c-440d-a5b5-d52ba2e14234,favorites,1
20,cc197bad-dc9c-440d-a5b5-d52ba2e14234,acoustic,1
21,cc197bad-dc9c-440d-a5b5-d52ba2e14234,indie pop,1
22,cc197bad-dc9c-440d-a5b5-d52ba2e14234,singer-songwriter,1
23,cc197bad-dc9c-440d-a5b5-d52ba2e14234,english,1
24,cc197bad-dc9c-440d-a5b5-d52ba2e14234,emo,1
25,cc197bad-dc9c-440d-a5b5-d52ba2e14234,brit rock,1
26,cc197bad-dc9c-440d-a5b5-d52ba2e14234,brit pop,1
27,cc197bad-dc9c-440d-a5b5-d52ba2e14234,classic rock,1
28,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Love,1
29,cc197bad-dc9c-440d-a5b5-d52ba2e14234,electronic,1
30,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Pop-Rock,1
31,cc197bad-dc9c-440d-a5b5-d52ba2e14234,90s,1
100,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,acoustic,100
101,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,british,78
102,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,singer-songwriter,72
103,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,easy-listening,26
104,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,Grime,23
105,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,pop,16
106,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,male vocalists,14
