,tag,number_of_pairs
0,00s,8143
1,10s,2107
2,1d,245
3,2010s,882
4,2014,96
5,2pac,80
6,3 Doors Down,68
7,50 Cent,120
8,50s,92
9,60s,4396
10,70s,7018
11,8-bit,188
12,80's,103
13,80s,12833
14,80s-influenced,112
15,90s,7967
16,<3,255
17,AOR,143
18,Acoustic Rock,790
19,All,2171
20,Alt-country,2738
21,Alternative Folk,243
22,Ariana Grande,155
23,Aussie,73
24,Avant-Garde,918
25,Awesome,1071
26,BPitch Control,108
27,Ballad,56
28,Baltimore,34
29,Blue-Eyed Soul,74
30,Britney Spears,154
31,Brooklyn,93
32,Brostep,159
33,Brutal Death Metal,335
34,Calgary,132
35,California,1170
36,Canadian,5300
37,Chris Brown,174
38,Classical,1931
39,Coldplay,125
40,Colombia,144
41,Crunk,193
42,DIsco House,203
43,Demi Lovato,381
44,Dirty South,566
45,Disco,1821
46,Disney,1081
47,Drake,93
48,Dreamy,556
49,Drum and bass,195
50,Drum n Bass,125
51,EDM,417
52,East Coast,277
53,Electro Pop,742
54,Electroclash,524
55,Elephant 6,121
56,Eminem,130
57,Experimental Rock,1296
58,Favorite,378
59,Favourites,83
60,Female Voices,151
61,Female fronted metal,463
62,Fifth Harmony,305
63,Funk Rock,390
64,Fusion,119
65,G-funk,190
66,Gabber,320
67,Gangsta Rap,1231
68,Garage Rock,1682
69,Girl Groups,211
70,Gothic,828
71,Gothic Metal,703
72,Gothic Rock,631
73,Grime,442
74,Grunge,2912
75,Gypsy,172
76,Hard,320
77,Hip Hop/Rap,280
78,Hip-Hop,16392
79,House,7061
80,Indietronic,81
81,Irish Punk,228
82,Jazz Hop,280
83,Kanye West,112
84,Kelly Clarkson,107
85,Lady Gaga,80
86,LastfmSC,32
87,Latin Rock,132
88,Lo-Fi,4256
89,Love,2408
90,Madonna,88
91,Mainstream Hardcore,320
92,Manchester,349
93,Mariah Carey,175
94,Mellow,3605
95,Melodic Death Metal,746
96,Mike Will Made It,64
97,Miley Cyrus,267
98,NWOBHM,244
99,NYC,32
100,Ne-Yo,147
101,Neo Soul,721
102,Neo-Psychedelia,810
103,Neo-Soul,1154
104,New Weird America,598
105,New Zealand,664
106,Nick Jonas,314
107,Nintendocore,185
108,North Carolina,99
109,Norway,145
110,Nu Metal,3810
111,Nu-metal,1113
112,Officially Shit,400
113,Phil Collins,108
114,Pop-Rock,1344
115,Pop-punk,413
116,Post punk,292
117,Post-punk revival,563
118,Power metal,516
119,Progressive,1201
120,Progressive House,1387
121,Progressive metal,1043
122,Progressive rock,4618
123,Psychedelic Rock,2854
124,Queen,16
125,Rave,26
126,Recommended,273
127,Reggaeton,237
128,Rhythmic Noise,106
129,Rihanna,116
130,Rock and Roll,1228
131,Scottish,876
132,Selena Gomez,488
133,Shakira,228
134,Shock Rock,126
135,Sludge,154
136,Soundtrack,1431
137,Soundtracks,149
138,Southern Rock,1026
139,Stoner Rock,400
140,Stones throw,103
141,Surf,630
142,Sweden,864
143,Swedish Metal,97
144,Symphonic Rock,36
145,The Beatles,219
146,UK,4946
147,UK Garage,567
148,USA,5899
149,United Kingdom,568
150,United States,730
151,Uplifting,431
152,Usher,95
153,Warp,127
154,West Coast Rap,597
155,X factor,820
156,abstract hip-hop,90
157,acid jazz,593
158,acoustic,14103
159,adult contemporary,274
160,afrikaans,209
161,alternative,66318
162,alternative country,208
163,alternative dance,189
164,alternative hip-hop,656
165,alternative metal,3802
166,alternative pop,300
167,alternative rap,648
168,alternative rnb,316
169,alternative rock,31218
170,amazing,980
171,ambient,6789
172,american,23323
173,americana,1599
174,ana,320
175,anti-folk,122
176,art pop,1017
177,art punk,51
178,art rock,2430
179,atlanta,141
180,atmospheric,454
181,australia,701
182,australian,3628
183,balearic,88
184,balkan,80
185,band,168
186,baroque,131
187,baroque pop,842
188,beatles,90
189,beautiful,2037
190,bebop,83
191,belgian,214
192,beyonce,85
193,big beat,478
194,big sean,103
195,bitch,224
196,black metal,530
197,bluegrass,141
198,blues,8050
199,blues rock,3253
200,blues-rock,120
201,boston,99
202,boyband,186
203,breakbeat,280
204,breakcore,124
205,breda,320
206,brit rock,136
207,british,27965
208,british invasion,220
209,britpop,6398
210,camp rock,90
211,canada,874
212,celtic,16
213,celtic punk,152
214,chamber pop,763
215,check out,282
216,chicago,370
217,chill,2654
218,chillout,10145
219,chillwave,1760
220,christian,200
221,christian rock,316
222,classic,1111
223,classic rock,20131
224,cloud rap,107
225,club,510
226,college rock,80
227,complextro,175
228,composer,378
229,composers,334
230,compton,215
231,contemporary classical,550
232,contemporary r&b,156
233,core,320
234,country,1771
235,country rock,227
236,crossover,626
237,cute,295
238,dance,18181
239,dance pop,166
240,dance punk,106
241,dance-pop,670
242,dance-punk,133
243,dancehall,680
244,danish,612
245,dark,79
246,dark-pop,112
247,darkwave,48
248,death metal,798
249,deathcore,201
250,deep house,818
251,diva,705
252,dj,285
253,dnb,121
254,doom metal,132
255,downtempo,6540
256,dream pop,4973
257,dub,1058
258,dubstep,3374
259,dutch,247
260,east coast rap,445
261,easy listening,1129
262,easy-listening,117
263,ed banger,186
264,electro,7059
265,electro house,2116
266,electronic,45753
267,electronic rock,98
268,electronica,14627
269,electropop,6698
